,c,b1,m1,a,b2,m2
Plot49,0.7666311994916951,0.003728348645216721,440.78431236470124,0.2886455349238372,-0.03263738694471843,2482.7140839350077
Plot50,0.8746944667892028,0.00290178527221218,646.3092414535811,0.13475311759214734,-0.007510334211753908,2579.2461941090182
Plot51,0.8582050235962656,0.003873862701842917,485.6545082851667,0.15130630262749248,-0.009661197385230056,2537.1938879966274
Plot52,0.8323564788964083,0.003234458371567336,498.30895043171313,0.22085506772831023,-0.011215381511817299,2577.7430278655997
Plot53,0.861181281398441,0.0034696364453752626,578.557388929286,0.1968043481138217,-0.008970642804446404,2596.2796146975093
Plot54,0.8573871902450229,0.002824463087121279,521.8707699779213,0.1522336721637198,-0.007187757525558263,2497.0925806930964
Plot55,0.843619570646099,0.004069535780807679,474.12168131686815,0.1591944428397635,-0.007082613065729157,2498.2433966524272
Plot56,0.8393416868929383,0.0022871814604573425,772.9563142243773,0.2712120811458569,-0.006561760975702967,2552.18372256044
Plot57,0.8267718762497877,0.002598903967463218,708.6729845129843,0.2663045932508148,-0.00930560817345791,2591.3728068493774
Plot58,0.8448964802994203,0.0034127512399487344,702.3141867434165,0.23592690536353525,-0.009086715167300686,2559.8359584151176
Plot59,0.8462999115909213,0.003632718225874108,565.2204674681112,0.16147112630293237,-0.008739710187587534,2538.7454354593183
Plot60,0.8744040470127558,0.0023958301692154284,729.982804756367,0.20047839044652352,-0.007960518003421999,2596.630241788338
Plot61,0.8707953150085693,0.0028519797212554214,565.5842368730417,0.1645406384747016,-0.008016505897435638,2613.9635124070037
Plot62,0.8855266171723961,0.0025330886341744185,562.050022955225,0.14045610509982592,-0.005221356191631818,2498.181947200866
Plot63,0.8415240026769597,0.003137316764837995,528.1788552126673,0.19148222610977045,-0.006655847193451296,2471.5433060611563
Plot64,0.820825348881022,0.0026063472872619787,665.7985600366861,0.2658835609715026,-0.011558107074907266,2552.221925101593
Plot65,0.8124315592195297,0.003967934515455329,551.3628636165264,0.19862932889388782,-0.008439950553148926,2542.4688954310477
Plot66,0.8575610351614428,0.0026965090217592087,573.2872469056624,0.1812879824364986,-0.006382596581846486,2486.9198910272967
Plot67,0.8614049335676135,0.0037354300296244527,547.6734614119632,0.16051153598600093,-0.007078756018698417,2492.1001968150667
Plot68,0.8677142942358089,0.003052471011746084,500.1082842433432,0.13663120312172913,-0.00791697835161945,2493.2020645598777
Plot69,0.8647073481734759,0.0031206015963585886,576.3286739843019,0.1597965113468495,-0.006704349439549931,2488.934255943097
Plot70,0.8363391330994806,0.00242044657822854,550.6534642164978,0.21425819769891996,-0.008091829401432915,2535.2990905468846
Plot71,0.8974622950057164,0.002646685135955039,743.7124513305357,0.13419773118660985,-0.008654843733134339,2534.595170305269
Plot72,0.876075819880585,0.0035426666278853196,576.9984139679494,0.14301124824312764,-0.007536473790742195,2550.981335458157
Plot73,0.7566611043211398,0.0034874412457904084,534.5289950059828,0.3565007083019658,-0.013723856063002773,2513.989512156098
Plot74,0.8466803115543633,0.0030454040120669614,567.6401837337487,0.18807329520838728,-0.007594641922876169,2537.990922682771
Plot75,0.8344668161023576,0.0034399118006248394,523.6787457574459,0.19492029174571063,-0.00893642111426532,2546.983350202137
Plot76,0.8997619634107865,0.0019451941125313771,742.2456491763802,0.23448940256901174,-0.005246621759265502,2557.4986831892265
Plot77,0.8408266634942353,0.0031089365783607105,540.1581044392299,0.18551655811668982,-0.008338926382027746,2522.7474590342645
Plot78,0.8201937536959347,0.0037477699531242256,541.3507910406427,0.1759759305737025,-0.008595728243910679,2491.273796289531
Plot79,0.8527087809046092,0.002750648082759266,675.3879638372752,0.21366888864504466,-0.007305589221346115,2611.2132267067946
Plot80,0.8321283225562489,0.002261240202364871,777.8948688569753,0.24807664999430315,-0.008167992229237269,2579.5154413614564
Plot81,0.8129418266021654,0.0032422362358615264,637.3165403841047,0.2858687583301698,-0.008583672627092103,2536.03246012888
Plot82,0.8362952336050383,0.003654064036029198,463.1435030526163,0.15638867442134857,-0.011450487741535943,2524.521616629115
Plot83,0.8424526152926709,0.003045656175719479,587.616836360846,0.21287402405413453,-0.0125536302690787,2550.197056654732
Plot84,0.8150353049608858,0.002477534928856174,619.5263851061917,0.2755741721671539,-0.009507462152729861,2576.4641052996367
Plot85,0.8454733849384661,0.00203155989370683,763.0953948268548,0.25488894964148134,-0.006569575130005145,2498.7266068065956
Plot86,,,,,,
Plot87,0.8756565836682648,0.0021644544400895843,603.9937502346586,0.14421188458898523,-0.007696716392276026,2556.798743372519
